Fecha,y1,y2
03-06-08,525.05,390.2
04-06-08,525.04,391.41
05-06-08,524.98,391.66
06-06-08,524.92,391.77
07-06-08,524.78,391.36
08-06-08,524.73,390.87
09-06-08,524.65,390.5
10-06-08,524.59,390.67
11-06-08,524.52,391.04
12-06-08,524.45,390.71
13-06-08,524.35,390.81
14-06-08,524.31,390.53
15-06-08,524.28,390.39
16-06-08,524.23,390.22
17-06-08,524.12,390.5
18-06-08,524.06,389.98
19-06-08,524.03,389.97
20-06-08,524,390.79
21-06-08,524.03,390.14
22-06-08,524.19,390.04
23-06-08,524.23,389.89
24-06-08,524.21,390.76
25-06-08,524.22,389.71
26-06-08,524.21,389.92
27-06-08,524.24,390.13
28-06-08,524.36,390.02
29-06-08,524.53,390.61
30-06-08,524.63,390.4
01-07-08,524.67,390.93
02-07-08,524.74,390.66
03-07-08,524.85,390.79
04-07-08,524.9,390.58
05-07-08,524.91,390.7
06-07-08,524.99,391.07
07-07-08,525.09,390.57
08-07-08,525.2,390.9
09-07-08,525.3,391.02
10-07-08,525.36,390.86
11-07-08,525.49,390.7
12-07-08,525.54,390.24
13-07-08,525.64,390.57
14-07-08,525.7,390.02
15-07-08,525.84,390.43
16-07-08,526.02,390.25
17-07-08,526.09,390.17
18-07-08,526.16,390.95
19-07-08,526.22,390.19
20-07-08,526.28,390.05
21-07-08,526.45,390.11
22-07-08,526.58,389.99
23-07-08,526.86,390.53
24-07-08,526.98,390.45
25-07-08,527.18,389.87
26-07-08,527.3,389.77
27-07-08,527.49,390.26
28-07-08,527.55,390.34
29-07-08,527.62,389.58
30-07-08,527.65,390.26
31-07-08,527.74,390.79
01-08-08,527.79,390.9
02-08-08,527.98,390.62
03-08-08,528.08,390.19
04-08-08,528.25,390.42
05-08-08,528.38,389.82
06-08-08,528.56,390.4
07-08-08,528.68,391.12
08-08-08,528.78,391.29
09-08-08,528.85,390.7
10-08-08,528.89,391.66
11-08-08,529.03,390.98
12-08-08,529.12,390.17
13-08-08,529.13,390.04
14-08-08,529.15,390.36
15-08-08,529.21,391.29
16-08-08,529.3,390.69
17-08-08,529.42,391.27
18-08-08,529.55,390.21
19-08-08,529.6,390.44
20-08-08,529.61,391.3
21-08-08,529.63,390.82
22-08-08,529.65,391.64
23-08-08,529.68,391.57
24-08-08,529.68,391.99
25-08-08,529.7,391.64
26-08-08,529.7,391.27
27-08-08,529.7,390.43
28-08-08,529.7,391.02
29-08-08,529.7,391.72
30-08-08,529.7,391.68
31-08-08,529.68,390.93
01-09-08,529.67,390.63
02-09-08,529.64,390.35
03-09-08,529.6,390.68
04-09-08,529.58,390.82
05-09-08,529.57,391.05
06-09-08,529.6,391.14
07-09-08,529.69,390.65
08-09-08,529.8,391.71
09-09-08,529.91,390.97
10-09-08,529.92,390.58
11-09-08,529.99,390.46
12-09-08,530.02,389.53
13-09-08,530.01,388.44
14-09-08,530,388.09
15-09-08,529.97,390.06
16-09-08,529.96,389.96
17-09-08,530.05,389.1
18-09-08,530.08,388.21
19-09-08,530.07,388.9
20-09-08,530.08,389.35
21-09-08,530.17,390.16
22-09-08,530.25,390.29
23-09-08,530.29,389.48
24-09-08,530.37,389.3
25-09-08,530.46,389.89
26-09-08,530.6,390.39
